gene_name,YES,NO,claude_summary
CYP4F22,0,10,0
CYP4F3,0,10,0
CYP4F8,0,10,0
CYP4X1,0,9,0
CYP4Z1,0,10,0
CYP7B1,0,9,0
CYP8B1,0,10,0
CYSLTR1,10,0,5
CYSLTR2,10,0,5
CYTH1,0,10,0
CYYR1,2,8,1
DAD1,0,9,0
DAG1,10,0,5
DAGLA,0,10,0
DAGLB,0,10,0
DAPL1,0,10,0
DAW1,0,10,0
DCAKD,0,10,0
DCBLD1,10,0,5
DCBLD2,10,0,5
DCC,10,0,5
DCHS1,10,0,5
DCHS2,10,0,5
DCN,0,10,0
DCST1,6,4,3
DCST2,5,5,3
DCSTAMP,5,5,3
DCT,10,0,5
DDOST,0,10,0
DDR1,10,0,5
DDR2,10,0,5
DDRGK1,0,10,0
DEGS1,0,10,0
DEGS2,0,10,0
DELE1,0,10,0
DERL1,0,10,0
DERL2,0,10,0
DERL3,0,10,0
DEUP1,0,10,0
DEXI,0,10,0
DGAT1,0,8,0
DGAT2,0,10,0
DGAT2L6,0,10,0
DGCR2,0,10,0
DGKE,1,8,1
DHCR24,0,10,0
DHCR7,0,10,0
DHRS13,0,10,0
DHRS7,0,10,0
DHRS7B,0,10,0
DHRS9,0,10,0
DIABLO,0,10,0
DIAPH3,0,10,0
DIO1,0,10,0
DIS3L2,0,10,0
DISP1,4,6,2
DISP2,2,8,1
DISP3,5,4,3
DKK1,5,5,3
DKK3,10,0,5
DLG1,2,8,1
DLG2,3,7,2
DLG5,0,10,0
DLGAP4,0,10,0
DLK1,10,0,5
DLK2,8,1,4
DLL1,10,0,5
DLL3,10,0,5
DLL4,10,0,5
DMAC1,0,10,0
DMXL2,0,10,0
DNAJB12,0,10,0
DNAJB14,0,10,0
DNAJB4,0,10,0
DNAJC1,0,10,0
DNAJC11,0,10,0
DNAJC15,0,10,0
DNAJC16,0,10,0
DNAJC18,0,10,0
DNAJC22,0,10,0
DNAJC25,0,10,0
DNAJC3,0,10,0
DNAJC30,0,10,0
DNAJC4,0,10,0
DNAJC5,0,10,0
DNAJC5B,0,10,0
DNAJC5G,0,9,0
DNER,10,0,5
DOCK1,0,10,0
DOK5,0,10,0
DOLK,0,9,0
DOLPP1,0,10,0
DPAGT1,0,10,0
DPCD,9,1,4
DPEP1,10,0,5
DPEP2,8,2,4
DPEP3,8,1,4
DPM2,0,10,0
DPM3,0,10,0
DPP10,9,1,4
DPP4,10,0,5
DPP6,10,0,5
DPP7,2,8,1
DPP9,2,8,1
DPY19L2,0,10,0
DPY19L3,1,9,1
DPY19L4,0,10,0
DRAM1,0,10,0
DRAM2,0,10,0
DRD1,9,0,5
DRD2,9,1,4
DRD3,10,0,5
DRD4,10,0,5
DRD5,7,3,3
DSC1,10,0,5
DSC2,10,0,5
DSC3,10,0,5
DSCAM,8,2,4
DSCAML1,9,1,4
DSE,6,4,3
DSEL,9,1,4
DSG1,10,0,5
DSG2,9,0,5
DSG3,10,0,5
DSG4,10,0,5
DSP,2,8,1
DST,0,10,0
DTNA,10,0,5
DUOX1,7,3,3
DUOX2,7,3,3
DUOXA1,0,10,0
DUOXA2,0,10,0
DYNAP,0,10,0
DYNC2H1,0,10,0
DYRK2,0,10,0
DYSF,9,0,5
EBP,0,9,0
EBPL,0,10,0
ECE1,9,1,4
ECE2,1,9,1
ECEL1,5,5,3
ECM2,2,8,1
ECSCR,6,4,3
EDA,9,0,5
EDA2R,10,0,5
EDAR,10,0,5
EDIL3,10,0,5
EDNRA,10,0,5
EDNRB,10,0,5
EDRF1,0,10,0
EFCAB14,0,10,0
EFEMP1,2,8,1
EFL1,0,10,0
EFNA1,9,0,5
EFNA2,10,0,5
EFNA3,10,0,5
EFNA4,10,0,5
EFNA5,10,0,5
EFNB1,10,0,5
EFNB2,10,0,5
EFNB3,10,0,5
EFR3A,0,10,0
EFR3B,0,10,0
EGF,10,0,5
EGFL7,4,6,2
EGFR,10,0,5
EHBP1L1,0,10,0
EHD3,0,10,0
EHD4,0,10,0
EHMT1,0,10,0
EI24,0,10,0
EIF2AK3,0,10,0
ELFN1,7,3,3
ELFN2,4,6,2
ELOVL1,0,10,0
ELOVL2,0,10,0
ELOVL3,0,9,0
ELOVL4,0,10,0
ELOVL5,0,10,0
ELOVL6,0,10,0
ELOVL7,0,10,0
EMB,0,10,0
EMC1,0,10,0
EMC10,0,10,0
EMC3,0,10,0
EMC4,0,9,0
EMC6,0,10,0
EMC7,0,10,0
EMCN,10,0,5
EMD,0,10,0
EMILIN1,4,6,2
EMILIN2,1,9,1
EMP1,10,0,5
EMP2,10,0,5
EMP3,10,0,5
ENAH,0,10,0
ENAM,1,9,1
ENG,10,0,5
ENHO,1,9,1
ENO1,10,0,5
ENOX1,10,0,5
ENOX2,9,1,4
ENPEP,10,0,5
ENPP1,10,0,5
ENPP3,10,0,5
ENPP4,8,2,4
ENPP5,9,1,4
ENPP6,10,0,5
ENTPD1,10,0,5
ENTPD2,10,0,5
ENTPD3,10,0,5
ENTPD4,10,0,5
ENTPD6,4,6,2
ENTPD7,10,0,5
ENTPD8,6,3,3
EPB41,1,9,1
EPB41L1,2,8,1
EPB41L2,2,8,1
EPB41L3,3,7,2
EPB41L4A,5,5,3
EPB41L4B,1,9,1
EPB41L5,1,9,1
EPCAM,10,0,5
EPDR1,0,10,0
EPGN,10,0,5
EPHA1,10,0,5
EPHA10,10,0,5
EPHA2,10,0,5
EPHA3,10,0,5
EPHA4,10,0,5
EPHA5,10,0,5
EPHA6,10,0,5
EPHA7,10,0,5
EPHA8,10,0,5
EPHB1,10,0,5
EPHB2,10,0,5
EPHB3,10,0,5
EPHB4,10,0,5
EPHB6,10,0,5
EPHX1,0,10,0
EPN1,0,10,0
EPOR,10,0,5
EPSTI1,0,10,0
EQTN,0,10,0
ERBB2,10,0,5
ERBB3,10,0,5
ERBB4,10,0,5
ERBIN,4,6,2
EREG,9,1,4
ERG28,0,10,0
ERGIC1,0,10,0
ERGIC2,0,10,0
ERGIC3,0,10,0
ERLIN1,0,10,0
ERMAP,10,0,5
ERMN,0,10,0
ERMP1,0,10,0
ERN1,0,10,0
ERN2,0,10,0
ERVFRD-1,0,10,0
ERVMER34-1,0,10,0
ERVV-2,1,9,1
ERVW-1,6,4,3
ESAM,10,0,5
ESYT1,0,10,0
ESYT2,0,10,0
ESYT3,0,10,0
ETNK1,0,10,0
ETNK2,0,10,0
EVA1A,3,7,2
EVA1B,3,7,2
EVA1C,2,8,1
EVC,0,10,0
EVC2,0,10,0
EVI2A,10,0,5
EVI2B,10,0,5
EXOC1,0,10,0
EXOC3,0,10,0
EXOC7,0,10,0
EXOG,0,10,0
EXT2,0,10,0
EXTL1,2,8,1
EXTL2,1,9,1
EXTL3,1,9,1
EZR,0,9,0
F10,3,7,2
F11,6,4,3
F11R,10,0,5
F12,7,3,3
F13A1,0,10,0
F2,6,4,3
F2R,10,0,5
F2RL1,10,0,5
F2RL2,10,0,5
F2RL3,10,0,5
F3,10,0,5
F5,4,6,2
F7,1,9,1
F8,2,8,1
F9,0,8,0
FA2H,0,10,0
FAAH,1,9,1
FADS1,0,10,0
FADS2,0,10,0
FADS3,0,10,0
FADS6,0,10,0
FAIM,1,8,1
FAIM2,2,8,1
FAM126B,0,10,0
FAM149B1,0,10,0
FAM151A,0,10,0
FAM155A,0,10,0
FAM155B,0,10,0
FAM160A2,0,10,0
FAM162A,0,10,0
FAM162B,0,10,0
FAM163A,0,10,0
FAM163B,0,10,0
FAM171A1,0,10,0
FAM171A2,0,10,0
FAM171B,0,10,0
FAM174A,0,10,0
FAM174B,0,10,0
FAM187A,0,10,0
FAM187B,0,10,0
FAM189A1,0,9,0
FAM189A2,0,10,0
FAM189B,0,10,0
FAM205A,0,10,0
FAM205C,0,9,0
FAM209A,0,10,0
FAM209B,0,9,0
FAM20A,1,9,1
FAM20C,0,10,0
FAM210A,0,10,0
FAM210B,0,10,0
FAM234A,0,10,0
FAM234B,0,10,0
FAM241A,0,10,0
FAM241B,0,10,0
FAM24A,0,10,0
FAM24B,0,10,0
FAM3A,4,6,2
FAM3B,7,3,3
FAM3D,2,8,1
FAM8A1,0,9,0
FAM9C,0,10,0
FAP,10,0,5
FAR2,0,10,0
FAS,10,0,5
FASLG,9,0,5
FAT1,10,0,5
FAT2,10,0,5
FAT3,10,0,5
FAT4,10,0,5
FATE1,7,3,3
FAXDC2,0,10,0
FBLIM1,0,10,0
FBLN2,4,6,2
FBN1,2,8,1
FBN2,0,10,0
FCAMR,10,0,5
FCAR,9,0,5
FCER1A,10,0,5
FCER1G,10,0,5
FCER2,10,0,5
FCGR1A,10,0,5
FCGR1B,10,0,5
FCGR2A,10,0,5
FCGR2B,10,0,5
FCGR3A,10,0,5
FCGR3B,10,0,5
FCGRT,9,0,5
FCMR,10,0,5
FCRL1,10,0,5
FCRL2,10,0,5
FCRL3,10,0,5
FCRL4,10,0,5
FCRL5,10,0,5
FCRL6,10,0,5
FER1L5,0,10,0
FER1L6,0,10,0
FERMT2,5,5,3
FFAR1,10,0,5
FFAR2,10,0,5
FFAR3,10,0,5
FFAR4,10,0,5
FGA,1,9,1
FGB,1,9,1
FGD1,0,10,0
FGD5,1,9,1
FGF2,6,4,3
FGF23,5,5,3
FGFR1,10,0,5
FGFR2,10,0,5
FGFR3,10,0,5
FGFR4,10,0,5
FGFRL1,10,0,5
FGL2,10,0,5
FGR,2,8,1
FIBCD1,10,0,5
FICD,0,10,0
FITM1,0,10,0
FITM2,0,10,0
FKBP11,0,10,0
FKRP,0,10,0
FKTN,4,6,2
FLCN,0,10,0
FLNA,0,10,0
FLNB,0,10,0
FLOT1,10,0,5
FLRT1,10,0,5
FLRT2,9,0,5
FLRT3,10,0,5
FLT1,10,0,5
FLT3,10,0,5
FLT3LG,10,0,5
FLT4,10,0,5
FLVCR1,7,3,3
FLVCR2,7,3,3
FMO1,0,10,0
FMO2,0,10,0
FMO3,0,10,0
FMO5,0,10,0
FMR1NB,0,10,0
FN1,10,0,5
FNDC1,0,9,0
FNDC10,0,10,0
FNDC3A,0,10,0
FNDC3B,0,10,0
FNDC4,0,9,0
FNDC5,5,4,3
FNDC9,0,10,0
FO681492.1,0,10,0
FOLH1,9,0,5
FOLR1,10,0,5
FOLR2,10,0,5
FOSL1,0,10,0
FP565260.3,0,10,0
FPR1,10,0,5
FPR2,10,0,5
FPR3,10,0,5
FRAS1,2,8,1
FREM2,3,7,2
FRMD3,0,10,0
FRMD5,1,9,1
FRRS1,0,10,0
FRS2,0,10,0
FSHR,10,0,5
FSTL1,8,2,4
FTH1,0,10,0
FTO,0,10,0
FUNDC1,0,10,0
FUNDC2,0,10,0
FURIN,7,3,3
FUT1,6,4,3
FUT10,1,9,1
FUT2,3,7,2
FUT3,2,8,1
FUT4,7,3,3
FUT5,5,5,3
FUT6,2,8,1
FUT8,1,9,1
FUT9,5,5,3
FXYD1,10,0,5
FXYD2,10,0,5
FXYD3,10,0,5
FXYD4,10,0,5
FXYD5,10,0,5
FXYD6,10,0,5
FXYD7,10,0,5
FYB1,0,10,0
FYN,9,1,4
FZD1,10,0,5
FZD10,10,0,5
FZD2,10,0,5
FZD3,10,0,5
FZD4,10,0,5
FZD5,10,0,5
FZD6,10,0,5
FZD7,10,0,5
FZD8,10,0,5
FZD9,10,0,5
G0S2,0,10,0
G6PC,0,10,0
G6PC2,0,10,0
G6PC3,0,10,0
GAA,0,10,0
GAB1,0,9,0
GAB2,0,10,0
GABARAPL1,0,10,0
GABBR1,9,1,4
GABBR2,10,0,5
GABRA1,9,1,4
GABRA2,8,2,4
GABRA3,9,1,4
GABRA4,7,3,3
GABRA5,8,2,4
GABRA6,8,2,4
GABRB1,10,0,5
GABRB2,10,0,5
GABRB3,9,1,4
GABRD,9,1,4
GABRE,10,0,5
GABRG1,10,0,5
GABRG2,9,1,4
GABRG3,10,0,5
GABRP,10,0,5
GABRQ,10,0,5
GABRR1,7,3,3
GABRR2,9,1,4
GABRR3,8,2,4
GAL3ST1,0,10,0
GAL3ST2,0,10,0
GAL3ST3,0,10,0
GAL3ST4,0,10,0
GALNT1,0,10,0
GALNT10,0,10,0
GALNT11,0,10,0
GALNT12,0,10,0
GALNT13,2,7,1
GALNT14,0,10,0
GALNT15,2,8,1
GALNT16,0,10,0
GALNT17,0,10,0
GALNT18,0,10,0
GALNT2,2,8,1
GALNT3,0,10,0
GALNT4,0,10,0
GALNT5,0,10,0
GALNT6,0,10,0
GALNT7,0,10,0
GALNT8,0,10,0
GALNT9,0,10,0
GALNTL5,0,10,0
GALNTL6,0,10,0
GALR1,10,0,5
GALR2,9,1,4
GALR3,10,0,5
GAP43,6,4,3
GAPT,0,10,0
GAS1,9,0,5
GBGT1,4,6,2
GCC1,0,10,0
GCGR,10,0,5
GCNT1,0,10,0
GCNT2,1,9,1
GCNT4,0,10,0
GCNT7,0,10,0
GCSAML-AS1,0,10,0
GDE1,6,4,3
GDF15,2,8,1
GDF2,2,8,1
GDPD1,0,10,0
GDPD2,0,9,0
GDPD4,0,10,0
GDPD5,0,10,0
GFRA1,10,0,5
GFRA2,10,0,5
GFRA3,10,0,5
GFRA4,10,0,5
GFRAL,9,0,5
GFY,0,10,0
GGCX,0,10,0
GGT1,10,0,5
GGT2,10,0,5
GGT5,9,1,4
GGT6,9,1,4
GGT7,9,1,4
GHITM,0,10,0
GHR,10,0,5
GHRHR,8,2,4
GHSR,10,0,5
GIMAP1,0,10,0
GIMAP5,0,10,0
GINM1,0,10,0
GIPR,10,0,5
GIT1,0,9,0
GJA1,10,0,5
GJA10,10,0,5
GJA3,10,0,5
GJA4,10,0,5
GJA5,10,0,5
GJA8,9,1,4
GJA9,10,0,5
GJB1,10,0,5
GJB2,10,0,5
GJB3,10,0,5
GJB4,10,0,5
GJB5,10,0,5
GJB6,10,0,5
GJB7,10,0,5
GJC1,10,0,5
GJC2,8,2,4
GJC3,10,0,5
GJD2,9,1,4
GJD3,10,0,5
GJD4,10,0,5
GJE1,6,4,3
GK,0,10,0
GK2,0,10,0
GLCE,0,10,0
GLDN,0,9,0
GLG1,1,9,1
GLIPR1,0,10,0
GLIPR1L2,0,10,0
GLMP,0,10,0
GLP1R,10,0,5
GLP2R,9,0,5
GLRA1,9,1,4
GLRA2,5,5,3
GLRA3,6,4,3
GLRA4,4,6,2
GLRB,8,0,5
GLT8D2,0,9,0
GLTPD2,0,10,0
GML,9,1,4
GNB1,0,10,0
GNB2,0,10,0
GNB4,0,10,0
GNG2,2,8,1
GNPTAB,0,10,0
GNPTG,0,10,0
GNRHR,8,1,4
GOLGA5,0,10,0
GOLGB1,0,10,0
GOLIM4,0,10,0
GOLM1,0,10,0
GOLT1A,0,10,0
GOLT1B,0,10,0
GOSR1,0,10,0
GOSR2,0,10,0
GP1BA,10,0,5
GP1BB,10,0,5
GP2,9,1,4
GP5,10,0,5
GP6,10,0,5
GP9,10,0,5
GPA33,10,0,5
GPAA1,0,10,0
GPAT3,0,10,0
GPAT4,0,10,0
GPBAR1,10,0,5
GPC1,10,0,5
GPC2,10,0,5
GPC3,10,0,5
GPC4,10,0,5
GPC5,10,0,5
GPC6,10,0,5
GPER1,10,0,5
GPI,5,5,3
GPIHBP1,10,0,5
GPM6A,10,0,5
GPM6B,10,0,5
GPNMB,10,0,5
GPR1,10,0,5
GPR101,10,0,5
GPR107,9,1,4
GPR108,10,0,5
GPR119,10,0,5
GPR12,9,0,5
GPR132,10,0,5
GPR135,10,0,5
GPR137,10,0,5
GPR137B,10,0,5
GPR137C,8,2,4
GPR139,10,0,5
GPR141,10,0,5
GPR142,10,0,5
GPR143,8,2,4
GPR146,10,0,5
GPR148,10,0,5
GPR149,9,1,4
GPR15,10,0,5
GPR150,10,0,5
GPR151,10,0,5
GPR152,10,0,5
GPR153,10,0,5
GPR155,10,0,5
GPR156,9,1,4
GPR157,9,1,4
GPR158,10,0,5
GPR160,10,0,5
GPR161,10,0,5
GPR162,10,0,5
GPR17,10,0,5
GPR171,10,0,5
GPR173,10,0,5
GPR174,10,0,5
GPR176,10,0,5
GPR179,8,2,4
GPR18,10,0,5
GPR180,10,0,5
GPR182,10,0,5
GPR183,10,0,5
GPR19,10,0,5
GPR20,10,0,5
GPR21,10,0,5
GPR22,10,0,5
GPR25,9,0,5
GPR26,10,0,5
GPR27,9,1,4
GPR3,10,0,5
GPR31,10,0,5
GPR32,10,0,5
GPR33,10,0,5
GPR34,10,0,5
GPR35,10,0,5
GPR37,9,1,4
GPR37L1,8,0,5
GPR39,10,0,5
GPR4,10,0,5
GPR42,10,0,5
GPR45,9,1,4
GPR50,10,0,5
GPR52,10,0,5
GPR55,10,0,5
GPR6,10,0,5
GPR61,10,0,5
GPR62,10,0,5
GPR63,10,0,5
GPR65,10,0,5
GPR68,10,0,5
GPR75,10,0,5
GPR78,10,0,5
GPR82,9,0,5
GPR83,10,0,5
GPR84,10,0,5
GPR85,10,0,5
GPR87,10,0,5
GPR88,10,0,5
GPR89A,9,1,4
GPR89B,9,1,4
GPRC5A,10,0,5
GPRC5B,10,0,5
GPRC5C,10,0,5
GPRC5D,10,0,5
GPRC6A,10,0,5
GPX8,0,10,0
GRAMD1A,0,10,0
GRAMD1B,0,10,0
GRAMD1C,0,10,0
GRAMD2A,0,10,0
GRAMD2B,0,10,0
GRAMD4,0,10,0
GRAP2,0,10,0
GRB2,0,10,0
GREM1,1,9,1
GRIA1,10,0,5
GRIA2,10,0,5
GRIA3,10,0,5
GRIA4,10,0,5
GRID1,8,2,4
GRID2,10,0,5
GRIK1,8,2,4
GRIK2,9,1,4
GRIK3,9,1,4
GRIK4,9,1,4
GRIK5,10,0,5
GRIN1,10,0,5
GRIN2A,10,0,5
GRIN2B,10,0,5
GRIN2C,9,1,4
GRIN2D,8,2,4
GRIN3A,9,1,4
GRIN3B,9,1,4
GRINA,10,0,5
GRK3,0,10,0
GRM1,10,0,5
GRM2,10,0,5
GRM3,9,1,4
GRM4,10,0,5
GRM5,10,0,5
GRM6,9,1,4
GRM7,10,0,5
GRM8,10,0,5
GRN,3,7,2
GRPR,10,0,5
GSDMA,0,10,0
GSG1,0,10,0
GSG1L,8,2,4
GSG1L2,7,3,3
GSN,5,5,3
GUCY2C,10,0,5
GUCY2D,1,8,1
GUCY2F,1,9,1
GYPA,10,0,5
GYPB,10,0,5
GYPC,10,0,5
GYPE,10,0,5
H6PD,0,10,0
HACD1,0,10,0
HACD2,0,10,0
HACD3,0,10,0
HACD4,0,10,0
HAMP,0,10,0
HAS1,0,10,0
HAS2,0,10,0
HAS3,0,10,0
HAVCR1,10,0,5
HAVCR2,10,0,5
HBEGF,10,0,5
HCAR1,10,0,5
HCAR2,10,0,5
HCAR3,10,0,5
HCK,2,8,1
HCLS1,0,10,0
HCN1,5,5,3
HCN2,10,0,5
HCN3,9,1,4
HCN4,9,1,4
HCRTR1,10,0,5
HCRTR2,10,0,5
HCST,10,0,5
HDAC11,0,10,0
HDAC6,0,10,0
HEG1,8,1,4
HEPACAM,10,0,5
HEPACAM2,10,0,5
HEPH,3,7,2
HEPHL1,0,10,0
HERPUD1,0,10,0
HERPUD2,0,10,0
HES6,0,10,0
HFE,10,0,5
HGF,10,0,5
HGSNAT,0,10,0
HHAT,1,9,1
HHATL,0,10,0
HHIP,8,2,4
HHLA2,10,0,5
HIGD1A,0,10,0
HIGD1B,0,10,0
HIGD1C,0,10,0
HIGD2A,0,10,0
HIGD2B,0,10,0
HIST1H1A,0,10,0
HJV,10,0,5
HLA-A,10,0,5
HLA-B,10,0,5
HLA-C,10,0,5
HLA-DMA,10,0,5
HLA-DMB,0,10,0
HLA-DOA,5,5,3
HLA-DOB,5,5,3
HLA-DPA1,10,0,5
HLA-DPB1,10,0,5
HLA-DQA1,10,0,5
HLA-DQA2,9,1,4
HLA-DQB1,10,0,5
HLA-DQB2,9,1,4
HLA-DRA,10,0,5
HLA-DRB1,10,0,5
HLA-DRB5,10,0,5
HLA-E,10,0,5
HLA-F,10,0,5
HLA-G,10,0,5
HM13,1,9,1
HMCN1,5,4,3
HMGCR,0,10,0
HMOX1,0,10,0
HMOX2,0,9,0
HNRNPK,0,10,0
HP,7,1,4
HPN,10,0,5
HPX,8,2,4
HRCT1,0,10,0
HRH1,9,1,4
HRH2,10,0,5
HRH3,9,1,4
HRH4,10,0,5
HRK,0,10,0
HS2ST1,0,10,0
HS3ST2,1,9,1
HS3ST3A1,0,10,0
HS3ST3B1,0,10,0
HS3ST4,0,10,0
HS6ST1,0,10,0
HS6ST2,1,9,1
HS6ST3,1,9,1
HSD11B1L,0,10,0
HSD11B2,0,10,0
HSD17B12,0,9,0
HSD17B2,0,10,0
HSD17B3,0,10,0
HSD17B6,0,10,0
HSDL1,0,10,0
HSP90AA1,2,8,1
HSP90B1,0,10,0
HSPA5,0,10,0
HSPG2,9,0,5
HSPG3,1,0,5
HTR1A,10,0,5
HTR1B,10,0,5
HTR1D,10,0,5
HTR1E,10,0,5
HTR1F,10,0,5
HTR2A,10,0,5
HTR2B,10,0,5
HTR2C,10,0,5
HTR3A,10,0,5
HTR3B,10,0,5
HTR3C,10,0,5
HTR3D,10,0,5
HTR3E,10,0,5
HTR4,10,0,5
HTR5A,8,2,4
HTR6,10,0,5
HTR7,9,1,4
HTRA1,0,10,0
HTRA2,0,10,0
HVCN1,10,0,5
HYAL2,10,0,5
ICAM1,10,0,5
ICAM2,10,0,5
ICAM3,10,0,5
ICAM4,10,0,5
ICAM5,10,0,5
ICMT,0,10,0
ICOS,10,0,5
ICOSLG,10,0,5
IER3,0,10,0
IER3IP1,0,9,0
IFI27,0,10,0
IFI27L2,0,10,0
IFI30,2,8,1
IFITM1,10,0,5
IFITM10,10,0,5
IFITM2,10,0,5
IFITM3,10,0,5
IFITM5,10,0,5
IFNA1,0,10,0
IFNAR1,10,0,5
IFNAR2,10,0,5
IFNB1,0,10,0
IFNG,0,9,0
IFNGR1,10,0,5
IFNGR2,10,0,5
IFNLR1,10,0,5
IFNW1,4,6,2
IFT20,0,10,0
IGBP1,0,10,0
IGDCC3,6,4,3
IGDCC4,3,7,2
IGF1,3,7,2
IGF1R,10,0,5
IGF2,4,6,2
IGF2R,7,3,3
IGFBP3,9,1,4
IGFLR1,10,0,5
IGLON5,9,0,5
IGSF1,9,0,5
IGSF11,10,0,5
IGSF23,10,0,5
IGSF3,10,0,5
IGSF5,10,0,5
IGSF6,10,0,5
IGSF8,10,0,5
IGSF9,10,0,5
IGSF9B,10,0,5
IKBIP,0,10,0
IL10,3,7,2
IL10RA,10,0,5
IL10RB,10,0,5
IL11RA,10,0,5
IL12A,4,5,2
IL12B,6,4,3
IL12RB1,10,0,5
IL12RB2,10,0,5
IL13,7,3,3
IL13RA1,10,0,5
IL13RA2,10,0,5
IL15,9,1,4
IL15RA,10,0,5
IL17A,5,5,3
IL17C,9,0,5
IL17D,8,2,4
IL17F,7,3,3
IL17RA,10,0,5
IL17RB,10,0,5
IL17RC,10,0,5
IL17RD,10,0,5
IL17RE,10,0,5
IL18,3,7,2
IL18BP,6,4,3
IL18R1,10,0,5
IL18RAP,10,0,5
IL1A,7,3,3
IL1B,6,4,3
IL1R1,10,0,5
IL1R2,10,0,5
IL1RAP,10,0,5
IL1RAPL1,10,0,5
IL1RAPL2,10,0,5
IL1RL1,10,0,5
IL1RL2,10,0,5
IL2,5,4,3
IL20,4,6,2
IL20RA,10,0,5
IL20RB,10,0,5
IL21,3,7,2
IL21R,10,0,5
IL22,1,9,1
IL22RA1,10,0,5
IL23A,4,5,2
IL23R,10,0,5
IL25,5,5,3
IL27,5,5,3
IL27RA,10,0,5
IL2RA,10,0,5
IL2RB,10,0,5
IL2RG,10,0,5
IL31,7,3,3
IL31RA,10,0,5
IL33,5,5,3
IL3RA,10,0,5
IL4,5,5,3
IL4R,10,0,5
IL5,4,6,2
IL5RA,10,0,5
IL6,5,5,3
IL6R,10,0,5
IL6ST,9,0,5
IL7R,10,0,5
IL9,3,7,2
IL9R,10,0,5
ILDR1,10,0,5
ILDR2,10,0,5
ILK,1,9,1
ILVBL,0,10,0
IMMT,0,10,0
IMPAD1,0,10,0
IMPG2,0,10,0
INAFM1,0,10,0
INAFM2,0,10,0
INHBA,1,9,1
INHBE,1,9,1
INPP5F,0,10,0
INSIG1,0,10,0
INSIG2,0,9,0
INSR,10,0,5
INSRR,10,0,5
IPCEF1,0,10,0
IQGAP1,0,10,0
IQGAP2,0,10,0
IRAK4,0,10,0
IREB2,0,10,0
ISLR,7,3,3
ISLR2,8,2,4
ITFG1,0,10,0
ITGA1,9,0,5
ITGA10,10,0,5
ITGA11,10,0,5
ITGA2,10,0,5
ITGA2B,10,0,5
ITGA3,10,0,5
ITGA4,10,0,5
ITGA5,10,0,5
ITGA6,10,0,5
ITGA7,10,0,5
ITGA8,10,0,5
ITGA9,10,0,5
ITGAD,10,0,5
ITGAE,10,0,5
ITGAL,10,0,5
ITGAM,10,0,5
ITGAV,10,0,5
ITGAX,10,0,5
ITGB1,8,0,5
ITGB2,10,0,5
ITGB3,10,0,5
ITGB4,10,0,5
ITGB5,10,0,5
ITGB6,10,0,5
ITGB7,9,0,5
ITGB8,10,0,5
ITIH2,0,10,0
ITLN1,10,0,5
ITM2A,6,4,3
ITM2B,8,2,4
ITM2C,6,4,3
ITPKA,0,10,0
ITPR1,0,10,0
ITPR2,0,10,0
ITPR3,0,10,0
ITPRIP,0,10,0
ITPRIPL1,1,9,1
ITPRIPL2,0,10,0
ITSN1,1,9,1
ITSN2,0,10,0
IYD,0,10,0
IZUMO1,10,0,5
IZUMO1R,10,0,5
IZUMO2,10,0,5
IZUMO3,10,0,5
JAG1,10,0,5
JAG2,10,0,5
JAGN1,0,10,0
JAM2,10,0,5
JAM3,10,0,5
JAML,10,0,5
JKAMP,0,10,0
JPH1,1,9,1
JPH2,1,9,1
JPH3,0,10,0
JPH4,0,10,0
JSRP1,0,10,0
JTB,0,10,0
JUP,0,10,0
KANTR,0,10,0
KCNA1,9,0,5
KCNA10,10,0,5
KCNA2,10,0,5
KCNA3,10,0,5
KCNA4,10,0,5
KCNA5,10,0,5
KCNA6,10,0,5
KCNA7,9,1,4
KCNAB1,0,10,0
KCNB1,10,0,5
KCNB2,5,5,3
KCNC1,5,5,3
KCNC2,6,4,3
KCNC3,7,3,3
KCNC4,6,4,3
KCND1,8,2,4
KCND2,8,2,4
KCND3,7,3,3
KCNE1,10,0,5
KCNE1B,10,0,5
KCNE2,10,0,5
KCNE3,10,0,5
KCNE4,10,0,5
KCNE5,10,0,5
KCNF1,6,4,3
KCNG1,8,2,4
KCNG2,9,1,4
KCNG3,10,0,5
KCNG4,5,5,3
KCNH1,10,0,5
KCNH2,9,1,4
KCNH3,9,1,4
KCNH4,8,1,4
KCNH5,10,0,5
KCNH6,9,1,4
KCNH7,10,0,5
KCNH8,5,5,3
KCNIP3,0,10,0
KCNJ1,7,3,3
KCNJ10,7,3,3
KCNJ11,6,4,3
KCNJ12,8,2,4
KCNJ13,4,6,2
KCNJ14,8,2,4
KCNJ15,5,5,3
KCNJ16,6,4,3
KCNJ18,7,3,3
KCNJ2,10,0,5
KCNJ3,10,0,5
KCNJ4,7,3,3
KCNJ5,9,1,4
KCNJ6,7,3,3
KCNJ8,6,4,3
KCNJ9,7,2,4
KCNK1,8,2,4
KCNK10,7,3,3
KCNK12,10,0,5
KCNK13,10,0,5
KCNK15,9,1,4
KCNK16,10,0,5
KCNK17,9,1,4
KCNK18,9,1,4
KCNK2,10,0,5
KCNK3,9,1,4
KCNK4,8,2,4
KCNK5,8,2,4
KCNK6,10,0,5
KCNK7,10,0,5
KCNK9,7,3,3
KCNMA1,5,5,3
KCNMB1,6,3,3
KCNMB2,5,5,3
KCNMB3,4,6,2
KCNMB4,6,4,3
KCNN1,7,2,4
