gene_name,Gilead ID,Tier,Jeff V Score,Jeff G Score,Maggie Score,Max Score,Average Score,Needs Genotype Enrichment,Further Surface Investigation Needed,Notes,targetQ_v0,targetQ_v2,positive,surface_v0,surface_gpt,rank,transcript_id,gene_id,type,n_membrane,N_AA
LRRC52,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80.95238095,80.95238095,0.00826446281,0.857,1,31,ENST00000294818.1,ENSG00000162763.3,SP+TM,1,313
SYNGR4,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80.95238095,80.95238095,0.00826446281,0.786,0,121,ENST00000344846.6,ENSG00000105467.8,TM,4,234
AGTR2,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80.95238095,80.95238095,0.01652892562,0.929,1,30,ENST00000371906.4,ENSG00000180772.6,TM,7,363
UMODL1,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80.95238095,80.95238095,0.02479338843,0.857,1,33,ENST00000408989.6,ENSG00000177398.18,SP+TM,1,1446
TM4SF19,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80.95238095,82.85714286,0.02479338843,0.643,0,119,ENST00000446879.5,ENSG00000145107.15,TM,3,299
RIBC1,,,,0,,0,0,,,low prevalence; high lung expression,80.95238095,80.95238095,0.05785123967,0,0,207,ENST00000375327.5,ENSG00000158423.16,GLOB,0,379
MST1R,,,,0,,0,0,,,"high expressionin stomach, intestines; not much of a Tx window",80.95238095,80.95238095,0.5041322314,0.786,1,32,ENST00000296474.7,ENSG00000164078.12,SP+TM,1,1400
SMIM34B,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80,0.01652892562,0.571,0,126,ENST00000624951.1,ENSG00000278961.2,TM,1,139
CALCR,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,83.80952381,0.02479338843,0.857,1,24,ENST00000359558.6,ENSG00000004948.14,SP+TM,7,508
CTAG2,,,,0,,0,0,,,Low prevalence; not surface,80,80,0.02479338843,0.143,0,123,ENST00000247306.4,ENSG00000126890.13,GLOB,0,210
PCDHGB1,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80.95238095,0.04132231405,1,1,34,ENST00000523390.1,ENSG00000254221.2,SP+TM,1,927
MFSD6L,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80,0.04132231405,0.857,1,35,ENST00000329805.5,ENSG00000185156.5,TM,12,586
VSIG10L,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80,0.04132231405,0.857,1,36,ENST00000335624.4,ENSG00000186806.5,SP+TM,1,867
BPIFB2,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80,0.04132231405,0.071,0,122,ENST00000170150.3,ENSG00000078898.6,SP,0,458
C22orf23,,,,0,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80,0.04132231405,0,0,210,ENST00000403305.5,ENSG00000128346.10,GLOB,0,217
RSPH10B2,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,80,80.95238095,0.04958677686,0,0,209,ENST00000403107.5,ENSG00000169402.15,GLOB,0,870
PLA2G4E,,,,,,0,0,,,low prevalence; not much of a Tx window on skin,80,80,0.05785123967,0.214,0,125,ENST00000399518.3,ENSG00000188089.13,GLOB,0,868
RIIAD1,,,,,,0,0,,,high lung expression,80,80.95238095,0.0826446281,0,0,208,ENST00000326413.7,ENSG00000178796.12,GLOB,0,102
ONECUT3,,,,,,0,0,,,not surface - transcription factor,80,80,0.0826446281,0,0,211,ENST00000382349.4,ENSG00000205922.4,GLOB,0,494
KLHDC7B,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,79.04761905,79.04761905,0.04132231405,0.643,0,128,ENST00000648057.1,ENSG00000130487.7,TM,1,1235
FIBCD1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,79.04761905,79.04761905,0.04958677686,0.643,0,127,ENST00000448616.5,ENSG00000130720.12,TM,1,461
B3GNT6,,,,,,0,0,,,ok Tx window but doesn't look surface,79.04761905,79.04761905,0.1157024793,0.071,1,37,ENST00000622824.1,ENSG00000198488.10,SP,0,384
SPINK13,,,,,,0,0,,,high expression on heart,79.04761905,79.04761905,0.1239669421,0.143,0,129,ENST00000512953.5,ENSG00000214510.9,SP,0,94
ALG1L,,,,,,0,0,,,not surface,79.04761905,79.04761905,0.3140495868,0,0,212,ENST00000611639.1,ENSG00000189366.9,GLOB,0,207
SLC13A2,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,78.0952381,78.0952381,0.01652892562,0.857,1,38,ENST00000444914.7,ENSG00000007216.14,TM,15,641
CXCL11,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,78.0952381,78.0952381,0.04132231405,0,0,215,ENST00000306621.7,ENSG00000169248.12,SP,0,94
TNMD,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,77.14285714,77.14285714,0.01652892562,0.786,1,42,ENST00000373031.4,ENSG00000000005.5,TM,1,317
KLRG2,,,,,,0,0,,,High expression of peripheral nerve and spine,77.14285714,77.14285714,0.05785123967,0.786,1,40,ENST00000340940.4,ENSG00000188883.4,TM,1,409
KCNS1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,76.19047619,78.0952381,0.00826446281,0.714,0,132,ENST00000306117.5,ENSG00000124134.8,TM,6,526
POTEE,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,76.19047619,76.19047619,0.01652892562,0,1,95,ENST00000356920.9,ENSG00000188219.14,GLOB,0,1075
PRR20G,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,76.19047619,76.19047619,0.01652892562,0,0,218,ENST00000465482.2,ENSG00000239620.2,GLOB,0,210
KISS1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,76.19047619,76.19047619,0.02479338843,0.071,0,136,ENST00000625357.1,ENSG00000170498.8,SP,0,144
FKBP6,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,76.19047619,76.19047619,0.04958677686,0,0,217,ENST00000252037.4,ENSG00000077800.12,GLOB,0,327
HS3ST6,,,,,,0,0,,,Mostly eye healthy expression but some lung (potential Tx window); needs genotype enrichment; doesn't look surface,76.19047619,76.19047619,0.05785123967,0.286,0,135,ENST00000454677.2,ENSG00000162040.6,SP,0,342
RSPH10B,,,,,,0,0,,,not surface,76.19047619,76.19047619,0.06611570248,0,0,219,ENST00000337579.4,ENSG00000155026.16,GLOB,0,870
GLB1L3,,,,,,0,0,,,good target but doesn't look to be surface,76.19047619,86.66666667,0.2396694215,0,0,206,ENST00000431683.6,ENSG00000166105.15,SP,0,653
PRODH,,,,,,0,0,,,not surface - localized to the mitochondria,76.19047619,79.04761905,0.3140495868,0.071,1,39,ENST00000610940.4,ENSG00000100033.16,GLOB,0,600
C1orf53,,,,,,0,0,,,ORF,76.19047619,76.19047619,0.6363636364,0.071,0,134,ENST00000367393.7,ENSG00000203724.10,GLOB,0,145
BX004987.1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,82.85714286,0.01652892562,0,0,213,NA,NA,NA,NA,NA
STPG3,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,75.23809524,0.02479338843,0.071,0,138,ENST00000388931.7,ENSG00000197768.10,GLOB,0,386
CCDC103,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,75.23809524,0.02479338843,0,0,224,ENST00000410006.6,ENSG00000167131.16,GLOB,0,242
SEC14L3,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,75.23809524,0.03305785124,0.071,1,43,ENST00000215812.8,ENSG00000100012.11,GLOB,0,400
ALKAL1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,76.19047619,0.03305785124,0,0,220,ENST00000358543.8,ENSG00000196711.8,SP,0,129
PIH1D3,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,82.85714286,0.04958677686,0,0,214,ENST00000535523.5,ENSG00000080572.12,GLOB,0,214
LKAAEAR1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,75.23809524,75.23809524,0.04958677686,0,0,228,ENST00000308906.6,ENSG00000171695.10,GLOB,0,240
TEKT3,,,,,,0,0,,,High lung expression,75.23809524,78.0952381,0.05785123967,0.286,0,133,ENST00000395930.5,ENSG00000125409.12,GLOB,0,490
MMP13,,,,,,0,0,,,High expression on bladder and bone marrow (minimal Tx window),75.23809524,75.23809524,0.06611570248,0.071,0,137,ENST00000340273.4,ENSG00000137745.11,SP,0,489
ZNF486,,,,,,0,0,,,transcription factor - not surface,75.23809524,75.23809524,0.4628099174,0,0,229,ENST00000335117.8,ENSG00000256229.7,GLOB,0,463
AKR1B15,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,74.28571429,74.28571429,0.01652892562,0.071,0,139,ENST00000457545.6,ENSG00000227471.8,GLOB,0,344
ACOXL,,,,,,0,0,,,high lung expression,74.28571429,76.19047619,0.1900826446,0,0,222,ENST00000439055.5,ENSG00000153093.18,GLOB,0,580
BMP3,,,,,,0,0,,,high prevalence; clean; but seems to be definitely secreted,73.33333333,75.23809524,0.3966942149,0,0,232,ENST00000282701.2,ENSG00000152785.6,SP,0,472
SLC22A31,,,,,,0,0,,,high lung expression; will make a good anchor for multi,73.33333333,73.33333333,0.826446281,0.643,0,142,ENST00000562855.6,ENSG00000259803.6,TM,12,556
HOXD1,,,,,,0,0,,,not surface,72.38095238,74.28571429,0.3388429752,0,0,233,ENST00000331462.5,ENSG00000128645.14,GLOB,0,328
C2orf50,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,71.42857143,78.0952381,0.04958677686,0,0,230,ENST00000381585.7,ENSG00000150873.11,GLOB,0,162
SPATS1,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,70.47619048,80.95238095,0.04132231405,0,0,221,ENST00000323108.12,ENSG00000249481.6,GLOB,0,300
CD164L2,,,,,,0,0,,,high lung expression,70.47619048,70.47619048,0.1818181818,0.929,1,47,ENST00000374030.2,ENSG00000174950.10,SP+TM,1,174
ALOX15B,,,,,,0,0,,,too high in lung,66.66666667,66.66666667,0.5454545455,0.286,0,144,ENST00000380183.8,ENSG00000179593.15,GLOB,0,676
GRIN3B,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,63.80952381,63.80952381,0.04958677686,0.714,0,146,ENST00000234389.3,ENSG00000116032.5,SP+TM,3,1043
CDKN2A,,,,,,0,0,,,not surface,62.85714286,62.85714286,0.6033057851,0,0,246,ENST00000498124.1,ENSG00000147889.17,GLOB,0,167
HHLA2,,,,,,0,0,,,"high healthy expression (large intestine, lung)",61.9047619,61.9047619,0.2975206612,0.786,0,148,ENST00000619531.4,ENSG00000114455.13,SP+TM,1,414
KLK7,,,,,,0,0,,,"high on kidney, lung, esophagus; lower prevalence",60.95238095,60.95238095,0.09917355372,0.214,1,54,ENST00000391807.5,ENSG00000169035.11,SP,0,253
CLDN23,,,,,,0,0,,,lots of healthy expression; only a few patients have a good Tx window,60.95238095,60.95238095,0.347107438,0.857,1,53,ENST00000519106.1,ENSG00000253958.1,TM,4,292
METTL27,,,,,,0,0,,,high on lung; likely not surface,60.95238095,60.95238095,0.5041322314,0,0,249,ENST00000297873.8,ENSG00000165171.10,GLOB,0,245
TMPRSS11E,,,,,,0,0,,,"lots of expression on esophagus, lung",60,60,0.1652892562,0.857,1,56,ENST00000305363.8,ENSG00000087128.9,TM,1,423
UBXN10,,,,,,0,0,,,high expression on lung,60,60,0.2314049587,0,0,259,ENST00000375099.3,ENSG00000162543.5,GLOB,0,280
SPACA9,,,,,,0,0,,,lots of lung expression,60,60,0.3636363636,0,0,256,ENST00000372136.7,ENSG00000165698.15,GLOB,0,222
ARSE,,,,,,0,0,,,lots of healthy expression,60,60,0.520661157,0.786,0,155,ENST00000545496.5,ENSG00000157399.14,SP+TM,2,614
TNFSF15,,,,,,0,0,,,lots of lung expression,59.04761905,59.04761905,0.4545454545,0.786,1,58,ENST00000374045.4,ENSG00000181634.7,TM,1,251
DLL3,,,,,,0,0,,,Not Novel,58.0952381,84.76190476,0.07438016529,0.786,1,45,ENST00000205143.4,ENSG00000090932.10,SP+TM,1,618
OSCP1,,,,,,0,0,,,lots of lung expression,58.0952381,66.66666667,0.1570247934,0.214,0,147,ENST00000356637.9,ENSG00000116885.18,GLOB,0,389
ITPKA,,,,,,0,0,,,unlikely surface; lots of healthy expression,58.0952381,90.47619048,0.3140495868,0.143,1,44,ENST00000260386.6,ENSG00000137825.10,GLOB,0,461
TMEM92,,,,,,0,0,,,"lots of healthy expression (prostate, small intestine, bile duct, etc)",58.0952381,58.0952381,0.6859504132,0.786,0,158,ENST00000300433.7,ENSG00000167105.7,SP+TM,1,159
SCUBE2,,,,,,0,0,,,,55.23809524,55.23809524,0.1570247934,0.143,1,61,ENST00000649792.1,ENSG00000175356.13,SP,0,1028
PYCR1,,,,,,0,0,,,not on surface,55.23809524,55.23809524,0.8429752066,0,0,264,ENST00000402252.6,ENSG00000183010.16,GLOB,0,346
CEACAM6,,,,,,0,0,,,Not novel,52.38095238,52.38095238,0.958677686,0.786,1,62,ENST00000199764.6,ENSG00000086548.8,SP+TM,1,344
SLC34A2,,,,,,0,0,,,great multi anchor,52.38095238,52.38095238,0.9669421488,0.929,1,63,ENST00000382051.7,ENSG00000157765.12,TM,10,690
SOX14,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,49.52380952,76.19047619,0.01652892562,0,0,247,ENST00000306087.2,ENSG00000168875.2,GLOB,0,240
GABRP,,,,,,0,0,,,lots of healthy expression,49.52380952,49.52380952,0.1074380165,0.714,0,167,ENST00000518525.5,ENSG00000094755.16,SP+TM,4,440
CEACAM5,,,,,,0,0,,,Not novel,49.52380952,49.52380952,0.7024793388,0.786,1,66,ENST00000221992.10,ENSG00000105388.15,SP+TM,1,702
SFTPC,,,,,,0,0,,,high lung expression,49.52380952,49.52380952,0.7190082645,0.643,0,170,ENST00000318561.7,ENSG00000168484.12,TM,1,197
TEX26,,,,,,0,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,48.57142857,83.80952381,0.04132231405,0,0,243,ENST00000380473.7,ENSG00000175664.9,GLOB,0,289
MS4A8,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.132231405,0.643,1,73,ENST00000300226.6,ENSG00000166959.7,TM,4,250
LAMP3,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.5454545455,0.786,1,72,ENST00000265598.7,ENSG00000078081.7,SP+TM,1,416
MSLN,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.5702479339,0.929,1,74,ENST00000382862.7,ENSG00000102854.15,SP,0,630
SLC6A14,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.6694214876,0.929,1,76,ENST00000598581.2,ENSG00000268104.2,TM,12,642
MUC4,,,,,,0,0,,,"high healthy expression (trachea, large intestine)",48.57142857,48.57142857,0.7438016529,0.714,1,75,ENST00000463781.7,ENSG00000145113.21,SP+TM,1,5412
FMO5,,,,,,0,0,,,"high healthy expression (liver, stomach, lung)",48.57142857,48.57142857,0.8347107438,0.714,0,171,ENST00000254090.8,ENSG00000131781.12,TM,1,533
TSPAN1,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.8429752066,0.786,1,78,ENST00000372003.5,ENSG00000117472.9,TM,4,241
FOLR1,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.867768595,1,1,70,ENST00000312293.9,ENSG00000110195.12,SP,0,257
ITGB6,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.9173553719,0.786,1,71,ENST00000283249.6,ENSG00000115221.11,SP+TM,1,788
LPCAT1,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.9338842975,0.786,0,172,ENST00000475622.5,ENSG00000153395.9,TM,2,534
TMC5,,,,,,0,0,,,high lung expression,48.57142857,48.57142857,0.9669421488,0.857,1,77,ENST00000396229.6,ENSG00000103534.16,TM,10,1006
CA9,,,,,,0,0,,,Not novel,47.61904762,47.61904762,0.2892561983,0.857,1,80,ENST00000378357.8,ENSG00000107159.12,SP+TM,1,459
CFAP157,,,,,,0,0,,,lots of healthy expression,46.66666667,46.66666667,0.1074380165,0.214,0,174,ENST00000373295.6,ENSG00000160401.14,GLOB,0,520
MUC1,,,,,,0,0,,,high lung expression,46.66666667,46.66666667,0.9917355372,0.786,1,81,ENST00000611571.4,ENSG00000185499.16,SP+TM,1,1262
FABP6,,,,,,0,0,,,high lung expression,45.71428571,46.66666667,0.2396694215,0.214,0,175,ENST00000393980.8,ENSG00000170231.15,GLOB,0,177
SFTPA1,,,,,,0,0,,,high lung expression,44.76190476,44.76190476,0.8429752066,0.143,0,177,ENST00000419470.6,ENSG00000122852.14,SP,0,263
CAPN8,,,,,,0,0,,,high lung expression,44.76190476,44.76190476,0.8925619835,0.143,0,176,ENST00000366872.9,ENSG00000203697.11,GLOB,0,703
SFTPD,,,,,,0,0,,,high lung expression,42.85714286,42.85714286,0.5619834711,0.143,1,86,ENST00000372292.7,ENSG00000133661.15,SP,0,375
SFTPA2,,,,,,0,0,,,high lung expression,42.85714286,42.85714286,0.8347107438,0.143,1,85,ENST00000372325.6,ENSG00000185303.16,SP,0,248
CAPS,,,,,,0,0,,,"lots of healthy expression, only a few patients have a Tx window",42.85714286,42.85714286,0.8347107438,0.143,0,178,ENST00000588776.6,ENSG00000105519.15,GLOB,0,275
CST6,,,,,,0,0,,,high lung expression,41.9047619,41.9047619,0.6446280992,0.143,0,182,ENST00000312134.2,ENSG00000175315.2,SP,0,149
DNAJB13,,,,,,0,0,,,only a few patients have a potential Tx window,40.95238095,61.9047619,0.2892561983,0.143,0,164,ENST00000339764.5,ENSG00000187726.8,GLOB,0,316
DEGS2,,,,,,0,0,,,"lots of healthy expression, top healthy is lung",40,62.85714286,0.3636363636,0.786,0,163,ENST00000305631.6,ENSG00000168350.7,TM,4,323
ABCA3,,,,,,0,0,,,high lung expression,40,48.57142857,0.694214876,0.857,1,83,ENST00000301732.9,ENSG00000167972.13,TM,12,1704
OPRK1,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,38.0952381,84.76190476,0.01652892562,0.786,0,150,ENST00000265572.7,ENSG00000082556.10,TM,7,380
NPSR1,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,37.14285714,84.76190476,0.03305785124,0.714,1,55,ENST00000381539.3,ENSG00000187258.13,TM,7,390
CLTRN,,,0,,,,0,,,proximal tubules,35.23809524,35.23809524,0.09090909091,0.643,1,88,ENST00000380342.3,ENSG00000147003.6,SP+TM,1,222
SOHLH2,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,28.57142857,81.9047619,0.03305785124,0.071,0,160,ENST00000379881.7,ENSG00000120669.15,GLOB,0,425
KCNH3,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,16.19047619,82.85714286,0.04958677686,0.571,0,168,ENST00000257981.6,ENSG00000135519.7,TM,6,1083
SLC9C2,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,14.28571429,81.9047619,0.01652892562,0.643,1,79,ENST00000367714.3,ENSG00000162753.12,TM,17,1124
KCNA1,,,0,,,,0,,,Below 5% patient prevalence; unlikely to be viable even with genotype enrichment,9.523809524,78.0952381,0.00826446281,0.643,1,84,ENST00000382545.5,ENSG00000111262.6,TM,6,495
